M49: V03:0.4080804577213298_[0] U12:0.05238226454175606_[3] U13:0.05567875101155663_[1] V02:0.05389219346726414_[2] 
M50: V04:0.31660809396364953_[0] V05:0.05221791735839604_[3] U12:0.10108791633606447_[1] U13:0.07132446310003127_[2] 
M51: U13:0.04455972042133169_[3] V06:0.3406864933501716_[0] V07:0.07845502123143638_[2] U12:0.1048314756517453_[1] 
M52: U12:0.29638208336379057_[0] U13:0.04228240334022917_[3] V08:0.15479331408726116_[1] V09:0.045972363942042904_[2] 
M53: V11:0.3702852343214999_[0] U12:0.11752920970318304_[1] U13:0.021603905447436903_[3] V10:0.07152370581744287_[2] 
M54: V12:0.39722533212480055_[0] V13:0.06731343915599972_[2] U12:0.0810262320989032_[1] U13:0.06408907564811304_[3] 
M55: U13:0.03337900283969149_[3] V14:0.2829375288207006_[0] V15:0.06532102296316473_[2] U12:0.21519543013968612_[1] 

M56: U14:0.14392139358317974_[1] U15:0.08348131949271627_[3] V00:0.0943028099747383_[2] V01:0.28594344223386203_[0] 
M57: V03:0.05493292992891214_[3] U14:0.06520930957256427_[2] U15:0.07524125882711105_[1] V02:0.3586780923490235_[0] 
M58: V04:0.35731237227804946_[0] V05:0.03912671925229426_[3] U14:0.06551021573379312_[2] U15:0.1010065596000208_[1] 
M59: U15:0.05730295572546475_[1] V06:0.38030227851522425_[0] V07:0.0457393006183265_[2] U14:0.02769877196788346_[3] 
M60: U14:0.03997351873086849_[3] U15:0.06999572674212415_[1] V08:0.35758144971767614_[0] V09:0.059950284766529215_[2] 
M61: V11:0.3330843580174189_[0] U14:0.06083610160303862_[2] U15:0.04757288549943936_[3] V10:0.15735474570377303_[1] 
M62: V12:0.3887862562582089_[0] V13:0.050022241637934874_[2] U14:0.038009455075791766_[3] U15:0.06642818227943767_[1] 
M63: U15:0.09992507044410161_[3] V14:0.21641196272128327_[0] V15:0.141838251431785_[1] U14:0.14049361797776386_[2] 

M64: U00:0.08386839276388637_[1] U01:0.03546273306771354_[3] V02:0.0755540365863616_[2] V03:0.3727326215713975_[0] 
M65: V05:0.09416221086336364_[1] U00:0.02992179492863429_[3] U01:0.08225165666091942_[2] V04:0.3976103728203828_[0] 
M66: V06:0.3337974003316463_[0] V07:0.12259780085944563_[1] U00:0.058437472758535905_[2] U01:0.04106339126987821_[3] 
M67: U01:0.04885475886250238_[2] V08:0.04318209761338315_[3] V09:0.36727807601904267_[0] U00:0.07936742239250012_[1] 
M68: U00:0.035843917062295165_[3] U01:0.048509564767771005_[2] V10:0.35768304753318136_[0] V11:0.12672413788284875_[1] 
M69: V13:0.11641322353699787_[1] U00:0.02466904382748615_[3] U01:0.03413626044564967_[2] V12:0.35959048073394695_[0] 
M70: V14:0.05568172438138128_[2] V15:0.39595677415251834_[0] U00:0.03080907652953108_[3] U01:0.07516739505720667_[1] 
M71: U01:0.05118523494991326_[3] V00:0.10385219594590214_[1] V01:0.3580636891677291_[0] U00:0.09529704023772193_[2] 

M72: U02:0.03337671842205103_[2] U03:0.032149127141073354_[3] V02:0.13483649080463284_[1] V03:0.34644205706957504_[0] 
M73: V05:0.3586779401608614_[0] U02:0.06247582906917249_[2] U03:0.05368695289359762_[3] V04:0.08889506084869427_[1] 
M74: V06:0.31587001663393693_[0] V07:0.07062424242424242_[3] U02:0.14359094841145012_[1] U03:0.11202423827367239_[2] 
M75: U03:0.018561949020199538_[3] V08:0.1312096901175764_[1] V09:0.35433875015135435_[0] U02:0.06106991065455515_[2] 
M76: U02:0.05247978389453936_[3] U03:0.07225116814402528_[2] V10:0.10830496151597689_[1] V11:0.3408575529537263_[0] 
M77: V13:0.37407476760820274_[0] U02:0.052473065026042404_[2] U03:0.02052734665302185_[3] V12:0.06765230156174529_[1] 
M78: V14:0.1563222762086398_[1] V15:0.14880678034087125_[2] U02:0.34360348748473757_[0] U03:0.12345693935693934_[3] 
M79: U03:0.05667886542446177_[2] V00:0.36449194603488366_[0] V01:0.03803766816545741_[3] U02:0.06083239417942111_[1] 

M80: U04:0.06807330360209946_[2] U05:0.05182254155394651_[3] V02:0.20454229753369227_[1] V03:0.22841401277807208_[0] 
M81: V05:0.10834457602888603_[1] U04:0.08415714332614518_[3] U05:0.10268555664265432_[2] V04:0.38656340829870445_[0] 
M82: V06:0.09151898567065615_[1] V07:0.3838503814105859_[0] U04:0.047150188733297786_[2] U05:0.040371910152510654_[3] 
M83: U05:0.038767743043751635_[3] V08:0.086911149470432_[1] V09:0.36273331494610145_[0] U04:0.056571165439005255_[2] 
M84: U04:0.06419551142568854_[2] U05:0.0535425024710739_[3] V10:0.10997602507922224_[1] V11:0.34616772981326027_[0] 
M85: V13:0.06858176011262918_[2] U04:0.020829750267392307_[3] U05:0.0702394648370081_[1] V12:0.3716186363539715_[0] 
M86: V14:0.18918548058635884_[0] V15:0.15906991456695677_[1] U04:0.0743718205532741_[3] U05:0.11376852834051128_[2] 
M87: U05:0.12458289487667597_[2] V00:0.14877237297823692_[1] V01:0.21739228787590156_[0] U04:0.054645799968071986_[3] 

M88: U06:0.028106405064315283_[3] U07:0.06268149152343626_[2] V02:0.36984143884102383_[0] V03:0.08220828841384635_[1] 
M89: V05:0.09907537906419096_[1] U06:0.032673590366101526_[2] U07:0.022327823918653664_[3] V04:0.38457000232733096_[0] 
