M48: V12:0.3801871337450256_[0] V13:0.1057779008056375_[2] W00:0.13742885782668648_[1] W01:0.05354729717507428_[3] 
M49: W03:0.17644525932132374_[1] V12:0.07021160680882903_[2] V13:0.3202453849727538_[0] W02:0.03715459781559636_[3] 
M50: W04:0.16696481061560425_[1] W05:0.11736713435374149_[2] V12:0.31402105904090033_[0] V13:0.09757812499999997_[3] 
M51: V13:0.22898236055661944_[1] W06:0.033748906958295286_[2] W07:0.02814951334448931_[3] V12:0.2662580244574095_[0] 
M52: V12:0.09027500000000001_[3] V13:0.18588104239805564_[1] W08:0.2352362351190476_[0] W09:0.09139818948412697_[2] 
M53: W11:0.24214291292318676_[0] V12:0.17868799861255635_[2] V13:0.13924679487179484_[3] W10:0.2237358875766049_[1] 
M54: W12:0.132306681539859_[1] W13:0.03127888197038347_[3] V12:0.05906310732017733_[2] V13:0.35283982281782134_[0] 
M55: V13:0.08581560111838407_[2] W14:0.09915997379813171_[1] W15:0.0637207300275482_[3] V12:0.40648970420963015_[0] 

M56: V14:0.36960985280246145_[0] V15:0.12013940003162718_[1] W00:0.08099896946442778_[2] W01:0.04563846304313742_[3] 
M57: W03:0.14954733434300738_[3] V14:0.17171471329552612_[2] V15:0.2191382634908387_[0] W02:0.19210535622427982_[1] 
M58: W04:0.027931972204320032_[3] W05:0.07031759294626941_[2] V14:0.09882246248014984_[1] V15:0.3765492806305853_[0] 
M59: V15:0.159375_[1]_[2] W06:0.159375_[1]_[2] W07:0.36288468324249074_[0] V14:0.13981135778189796_[3] 
M60: V14:0.13234311143402053_[1] V15:0.38464078437029997_[0] W08:0.07602573637317868_[3] W09:0.093871053189235_[2] 
M61: W11:0.07981889252722585_[3] V14:0.2864597359926002_[0] V15:0.15427999864718614_[1] W10:0.12434654758550678_[2] 
M62: W12:0.053159879383827796_[2] W13:0.02306807497547548_[3] V14:0.36080043902039505_[0] V15:0.13042633882608173_[1] 
M63: V15:0.11278483072916667_[2] W14:0.08392384731670446_[3] W15:0.2568110795454545_[0] V14:0.21935971935261714_[1] 

M64: V00:0.047249649505690994_[3] V01:0.36780125283192755_[0] W02:0.05540110126764285_[1] W03:0.047836364980126674_[2] 
M65: W05:0.11959237343852729_[1] V00:0.09476643598615916_[2]_[3] V01:0.09476643598615916_[2]_[3] W04:0.3396614069690993_[0] 
M66: W06:0.023031182620478277_[3] W07:0.05375241793017044_[2] V00:0.09991058785159801_[1] V01:0.3724334587572332_[0] 
M67: V01:0.15732774200858146_[1] W08:0.1485272278264142_[2] W09:0.09478147468105916_[3] V00:0.3425575039879623_[0] 
M68: V00:0.20345082097389788_[1] V01:0.14273546965854655_[2] W10:0.24402188324496016_[0] W11:0.095524154491342_[3] 
M69: W13:0.10828215901745313_[2] V00:0.05628684176909004_[3] V01:0.34111921714161775_[0] W12:0.15806690325711595_[1] 
M70: W14:0.040345895427047355_[3] W15:0.04078771204660251_[2] V00:0.14696526115956432_[1] V01:0.34395748574194485_[0] 
M71: V01:0.14570473251028807_[1] W00:0.07208625888918893_[3] W01:0.12365913903595707_[2] V00:0.37265666453547147_[0] 

M72: V02:0.11442923767365074_[1] V03:0.10703317901234566_[2] W02:0.01969161800388633_[3] W03:0.38143397240075205_[0] 
M73: W05:0.16076867891057078_[1] V02:0.13576052735143643_[3] V03:0.14653028571428572_[2] W04:0.19577659222929494_[0] 
M74: W06:0.03679929607046156_[3] W07:0.10367003601866881_[1] V02:0.07928378280990088_[2] V03:0.41189939829925815_[0] 
M75: V03:0.11189461814137419_[2] W08:0.12398469856341314_[1] W09:0.053985732846265566_[3] V02:0.36585400081309094_[0] 
M76: V02:0.07324915083212886_[1] V03:0.3743006627726115_[0] W10:0.06761029494936117_[2] W11:0.05674215553133998_[3] 
M77: W13:0.14163811190716386_[1] V02:0.08372933884297519_[2] V03:0.07112407519709425_[3] W12:0.3174807422083459_[0] 
M78: W14:0.13694444444444445_[2] W15:0.06614704038946462_[3] V02:0.43781531039106786_[0] V03:0.15986111111111112_[1] 
M79: V03:0.09616666666666666_[3] W00:0.17143972052921072_[1] W01:0.24222536048758736_[0] V02:0.10148577008928572_[2] 

M80: V04:0.3476562791522565_[0] V05:0.07992941783904624_[2] W02:0.07340324739363199_[3] W03:0.08096686427263358_[1] 
M81: W05:0.02426206584135072_[3] V04:0.4103003799888059_[0] V05:0.06528355440396269_[1] W04:0.05686574055196505_[2] 
M82: W06:0.07929079878888533_[2] W07:0.09038327674339611_[1] V04:0.07817128264326058_[3] V05:0.36915811034214_[0] 
M83: V05:0.27515254864904076_[0] W08:0.1808072892321524_[1] W09:0.050358953417730265_[3] V04:0.1414043347331905_[2] 
M84: V04:0.44181927083957384_[0] V05:0.044227481676118605_[3] W10:0.05695464505732363_[2] W11:0.08986667416769746_[1] 
M85: W13:0.06466120448901061_[3] V04:0.10966486718409792_[1] V05:0.09895227208688746_[2] W12:0.3061892560767191_[0] 
M86: W14:0.03688703365133222_[2] W15:0.02562726745335774_[3] V04:0.12922649207764456_[1] V05:0.36911643746571565_[0] 
M87: V05:0.17222962962962962_[0] W00:0.17142787727335831_[1] W01:0.17036581979730667_[2] V04:0.15915180340864046_[3] 

M88: V06:0.10986382323942652_[1] V07:0.3650262994446933_[0] W02:0.02756140849484518_[3] W03:0.0817735465017508_[2] 
M89: W05:0.2481272294887039_[0] V06:0.09504437869822485_[2]_[3] V07:0.09504437869822485_[2]_[3] W04:0.16777645659928653_[1] 
M90: W06:0.02282029383058832_[3] W07:0.09043337442744179_[1] V06:0.32762438082644674_[0] V07:0.08130879539300272_[2] 
M91: V07:0.12573964438628332_[1] W08:0.08801421260098947_[2] W09:0.054276894549226906_[3] V06:0.36794100302064214_[0] 
M92: V06:0.2963425486736298_[0] V07:0.12150053073326386_[1] W10:0.10899705233038566_[2] W11:0.0873823406931515_[3] 
M93: W13:0.08369010386047422_[3] V06:0.3233703846715199_[0] V07:0.08763888888888888_[2] W12:0.14780784570613803_[1] 
